,Date,Year,Stream,Watershed,Site.Code,Tier,Reach,Reach.1,Pair.ID.1,Pair.ID,Survey.Type,Unit,Unit.1,SWFW,SWFW.1,Distance,DistFromEnd,Length,Area,N,N.1,S,S.1,E,E.1,W,W.1,CC,CC.1,Stream.Grad ,Unit.Grad.1,Unit.Gradient.2,Ave.Grad,RB.VW,LB.VW,Total.Width,RB.slope,LB.slope,Ave.Slope,Clay,Fines,Sand,Gravel,Pebble,Cobble,Boulder,SWD,LWD,WW.1,Depth1.1,Depth1.2,Depth1.3,Over.1,WW.2,Depth2.1,Depth2.2,Depth2.3,Over.2,WW.3,Depth3.1,Depth3.2,Depth3.3,Over.3,Ave.Depth,Ave.WW,Per.Over,Prop.Over,Per.Clay,Prop.Clay,Per.Fines,Prop.Fines,Per.Sand,Prop.Sand,Per.Gravel,Prop.Gravel,Per.Pebble,Prop.Pebble,Per.Cobble,Prop.Cobble,Per.Boulder,Prop.Boulder,Per.SWD,Prop.SWD,Per.LWD,Prop.LWD,Per.Wood,Prop.Wood,Per.Sed,Prop.Sed,Per.Coarse,Prop.Coarse,Easting,Northing,Datum,Error,Notes
o,6/15/2016,2016,Godwood,0,GT1_TE2_30,1,TE2,TE2,3,6,GSR,30,30,,,30,870,,0,,,,,,,,,,,,1.15,,1.15,,,,,,,0,0,0,2,4,6,0,0,0,99,2,3,4,41,108,2,4,2,0,62,6,9,1,19,3.67,89.67,22.30,0.22,0.00,0.000000,0.00,0.00000,0.00,0.00,16.67,0.17,33.33,0.33,50.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000000010,83.33,0.83333,,,,,
,6/15/2016,2016,Godwood,0,GT1_TE2_SSS50,1,TE2,TE2,3,6,SSS,50,50,,,50,850,,,5,12,2,15,1,16,3,14,92.65,83.50,4,,,,NA,NA,NA,NA,NA,,0,0,0,1,3,7,0,0,0,108,1,3,3,59,61,6,5,1,38,71,5,1,3,71,3.11,80.00,70.00,0.70,0.00,0.000000,0.00,0.00000,0.00,0.00,9.09,0.09,27.27,0.27,63.64,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0001000000,90.91,0.90909,,,,,
o,7/7/2016,2016,Godwood,0,GT1_TE2_100,1,TE2,TE2,3,6,GSR_SSS,100,100,100-103,,100,800,3,133,4,13,3,14,4,13,6,11,94.12,74.50,,1,,1,11,4,15,21,19,20,0,0,2,2,4,5,0,2,0,33,1,3,1,0,60,13,10,5,60,40,3,2,1,20,4.33,44.33,60.15,0.60,0.00,0.000000,0.00,0.00000,13.33,0.13,13.33,0.13,26.67,0.27,33.33,0.33,0.00,0.00,13.33,0.13,0.00,0.00,13.47,0.13,13.33,0.1333333333,60.00,0.60000,,,,,
o,7/7/2016,2016,Godwood,0,GT1_TE2_147,1,TE2,TE2,3,6,GSR,147,147,147-150,,147,753,3,169,3,14,4,13,3,14,3,14,95.59,80.50,3.5,1,,1,0,7,7,28,20,24,0,6,1,3,2,0,0,3,0,48,2,3,2,48,86,2,2,2,5,35,2,2,1,10,2.00,56.33,37.28,0.37,0.00,0.000000,40.00,0.40000,6.67,0.07,20.00,0.20,13.33,0.13,0.00,0.00,0.00,0.00,20.00,0.20,0.00,0.00,20.20,0.20,47.07,0.4706666667,13.33,0.13333,,,,,
o,7/7/2016,2016,Godwood,0,GT1_TE2_150,1,TE2,TE2,3,6,GSR_SSS,150,150,150-152,,150,750,2,212,1,16,0,17,0,17,0,17,98.53,98.50,1,0,,0,5,3,8,24,18,21,0,0,0,2,5,8,0,0,0,145,2,4,1,30,80,5,5,3,0,93,17,14,9,5,6.67,106.00,11.01,0.11,0.00,0.000000,0.00,0.00000,0.00,0.00,13.33,0.13,33.33,0.33,53.33,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000000010,86.67,0.86667,,,,,
o,7/7/2016,2016,Godwood,0,GT1_TE2_250,1,TE2,TE2,3,6,GSR_SSS,250,250,250-252,,250,650,2,54,2,15,4,13,3,14,5,12,97.06,79.00,,6.05,,6.05,10,9,19,29,28,28.5,0,0,0,2,3,1,0,0,0,28,2,2,1,28,29,1,3,4,29,24,2,3,2,24,2.22,27.00,100.00,1.00,0.00,0.000000,0.00,0.00000,0.00,0.00,33.33,0.33,50.00,0.50,16.67,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000000010,66.67,0.66667,,,,,
o,7/7/2016,2016,Godwood,0,GT1_TE2_295,1,TE2,TE2,3,6,GSR,295,295,,,295,605,,0,,,,,,,,,,,,1,,1,0,6,6,28,26,27,0,3,0,11,3,6,0,1,0,58,4,8,4,50,100,10,13,9,95,90,19,18,19,80,11.56,82.67,90.73,0.91,0.00,0.000000,12.50,0.12500,0.00,0.00,45.83,0.46,12.50,0.13,25.00,0.25,0.00,0.00,4.17,0.04,0.00,0.00,4.21,0.04,12.63,0.1262500000,37.50,0.37500,,,,,
o,7/7/2016,2016,Godwood,0,GT1_TE2_300,1,TE2,TE2,3,6,GSR_SSS,300,300,,,300,600,,0,3,14,2,15,3,14,2,15,95.59,85.00,4,1,,1,8,0,8,26,30,28,0,0,1,3,5,4,0,0,0,48,2,2,1,48,34,1,3,2,34,60,4,6,5,60,2.89,47.33,100.00,1.00,0.00,0.000000,0.00,0.00000,7.69,0.08,23.08,0.23,38.46,0.38,30.77,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.0769230769,69.23,0.69231,,,,,
,7/12/2016,2016,Godwood,0,GT1_TE2_SSS350,1,TE2,TE2,3,6,SSS,350,350,,,350,550,,,4,13,3,14,4,13,4,13,94.12,77.50,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,subusrface
,7/7/2016,2016,Godwood,0,GT1_TE2_SSS400,1,TE2,TE2,3,6,SSS,400,400,,,400,500,,,5,12,3,14,3,14,3,14,92.65,79.00,NA,NA,,,10,10,20,22,25,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,subsurface
