site,Watershed,Tier,Gradient,Sediment,Coarse,Depth,WW,Over
GT2_R2_FW16,0,1,1.75,3.23,74.19,11.11,218.67,46.49
GT2_R2_FW13,0,1,0.95,33.33,46.15,20,279.33,45.35
GT2_R2_FW19,0,1,0.45,11.11,77.78,9.67,182.67,46.72
GT2_R2_SW4,0,1,1.9,6.67,73.33,12.33,108,40.12
GT2_R2_FW25,0,1,0,25,41.67,36.33,257.67,34.15
GT2_R2_SW1,0,1,2.2,6.98,72.09,9.67,360.67,21.26
GT2_R2_FW7,0,1,0.35,22.22,62.96,13.33,191.33,36.93
GT2_R2_FW10,0,1,0,5.94,64.71,13,231.67,52.09
GT2_R2_FW1,0,1,0.5,19.59,39.13,17.89,314.67,50.32
GT2_R2_SW7,0,1,3.95,0,91.3,14,156.67,20.85
GT2_R2_FW22,0,1,3.5,0,63.64,7.11,162,19.96
GT2_R2_SW10,0,1,0,7.41,59.26,24,186,14.34
GT2_R2_FW4,0,1,0.4,12,64,27.67,172.67,35.91
GT1_TE2_30,0,1,0,16.24,59.46,18.11,250.33,54.86
GT1_TE2_100,0,1,1,2.13,55.32,5.22,324.33,50.57
GT1_TE2_147,0,1,0,20.65,26.47,26.89,236.67,33.8
GT1_TE2_150,0,1,0.55,0,68,18,177.33,50.19
GT1_TE2_295,0,1,9,0,53.33,2.11,68.33,100
GT1_TE2_250,0,1,1.675,0,50,2.56,56,72.62
GT1_TE2_300,0,1,4.425,8.33,70.83,3.39,83.67,100
GT1_TE2_558,0,1,4,0,61.11,3.11,50.33,100
GT1_TE2_580,0,1,1.15,9.52,66.67,3.33,72.67,13.76
GT1_TE2_607,0,1,1,85.71,0,11.11,74.33,35.87
GT1_TE2_623,0,1,5.875,0,55,1.56,72,60.19
GT1_TE2_650,0,1,1.375,21.43,71.43,2.67,49.33,73.65
GT1_TE2_686,0,1,1,72.73,0,12.56,81.33,26.64
GT1_TE2_693,0,1,0,37.5,12.5,9.67,66.67,25.5
GT1_TE2_703,0,1,0,0,64.29,6.33,103.67,70.42
GT1_TE2_750,0,1,2.8,0,38.46,3,97.67,65.53
GT1_TE2_800,0,1,0,50,20,6.78,69.33,38.94
ST2_R2_SW14,0,1,3,6.56,12.5,2.22,64.33,31.09
ST2_R2_SW19,0,1,2.3,50,16.67,5.56,49,54.42
ST2_R2_FW2,0,1,0,0.14,42.86,5.67,61.67,59.46
ST2_R2_FW8,0,1,2.85,20,10,5,71.67,55.81
ST2_R2_SW10,0,1,0,0,86.67,5.33,112.33,82.2
ST2_R2_SW2,0,1,1.325,0,81.82,3.78,76,100
ST2_R2_SW5,0,1,5.3,0,68.75,3.44,60.67,27.47
ST2_R2_FW5,0,1,2.5,0,0,2.44,56.33,20.71
ST2_R2_SW8,0,1,6,8.7,60.87,4.44,83,44.18
