site,y.1,y.2,y.3,y.4
GT2_R2_FW16,1,,,
GT2_R2_FW13,1,,1,0
GT2_R2_FW19,1,,,
GT2_R2_SW4,1,0,0,0
GT2_R2_FW25,0,,,
GT2_R2_SW1,0,0,,
GT2_R2_FW7,1,1,,
GT2_R2_FW10,1,1,,
GT2_R2_FW1,1,,,
GT2_R2_SW7,0,0,,
GT2_R2_FW22,0,,,
GT2_R2_SW10,0,0,1,1
GT2_R2_FW4,1,1,1,0
GT1_TE2_30,0,,,
GT1_TE2_100,0,,0,
GT1_TE2_147,0,,0,0
GT1_TE2_150,0,,0,
GT1_TE2_295,0,,,
GT1_TE2_250,0,,,
GT1_TE2_300,0,,,
GT1_TE2_558,0,,,
GT1_TE2_580,0,,0,
GT1_TE2_607,0,,,
GT1_TE2_623,0,,0,
GT1_TE2_650,0,,,
GT1_TE2_686,0,,,
GT1_TE2_693,0,,,
GT1_TE2_703,0,,,
GT1_TE2_750,0,,0,
GT1_TE2_800,0,,,
ST2_R2_SW14,0,,,
ST2_R2_SW19,0,,0,0
ST2_R2_FW2,1,,,
ST2_R2_FW8,0,,0,0
ST2_R2_SW10,0,,,
ST2_R2_SW2,0,0,0,0
ST2_R2_SW5,0,,,
ST2_R2_FW5,0,,,
ST2_R2_SW8,0,0,0,0
ST2_R2_FW13,0,0,,
ST2_R2_FW14,0,,,
ST2_R1_FW5,0,0,,
ST2_R1_FW17,0,0,1,0
ST2_R1_SW5,0,0,0,0
ST2_R1_SW8,0,0,,
ST2_R1_FW24,0,0,,
ST2_R1_FW21,0,,,
ST2_R1_SW2,0,,,
ST2_R1_FW3,0,,0,0
ST2_R1_FW7,0,,,
ST2_R1_FW11,0,,,
ST2_R1_SW12,0,,,
ST2_R1_SW14,0,,0,0
ST2_R3_SW13,0,0,1,0
ST2_R3_SW14,0,,,
ST2_R3_SW9,0,,,
ST2_R3_FW4,0,,0,1
ST2_R3_SW3,0,,,
ST2_R3_SW6,0,,0,0
ST2_R3_FW8,0,,1,0
ST2_R3_SW21,0,0,,
ST2_R3_FW13,0,0,,
ST2_R3_SW19,0,,,
ST2_R3_FW12,1,,,
GT1_TE4_33,0,1,0,
GT1_TE4_60,0,,0,
GT1_TE4_90,1,,,
GT1_TE4_122,1,1,0,
GT1_TE4_154,1,,,
GT1_TE4_180,0,,,
GT1_TE4_220,1,0,,
GT1_TE4_250,0,,,
GT1_TE4_270,1,,,
GT1_TE4_330,0,,,
GT1_TE4_360,1,,0,
GT1_TE4_390,0,,0,
GT1_TE4_420,1,,,
GT1_TE4_450,0,,1,
GT1_TE4_480,1,,1,
GT1_TE4_540,0,,,
GT1_TE4_720,0,,,
GT1_TE4_570,0,,1,
GT1_TE4_600,0,,,
GT1_TE4_630,1,,,
GT1_TE4_660,0,,0,
GT1_TE4_690,1,,,
GT1_TE4_750,0,,0,
GT1_TE4_800,1,,,
GT1_TE4_850,0,,,
GT1_TE4_900,0,,,
GT1_TE4_950,0,,,
GT1_TE4_1000,0,,,
GT1_TE4_1050,0,,,
GT1_TE4_1100,0,,,
GT1_TE4_1225,0,,0,
GT1_TE4_1234,0,,,
GT1_TE4_1250,0,,,
GT1_TE4_1300,0,,,
GT1_TE4_1350,1,,,
GT1_TE4_1407,0,,,
GT1_TSW2_55,0,,,
GT1_TSW2_88,0,,0,
GT1_TSW2_162,0,,,
GT1_TSW2_200,0,,0,
GT1_TSW2_250,0,,,
GT1_TSW2_300,0,,0,
GT1_TSW2_350,0,,,
GT1_TSW2_400,0,,0,
GT1_TSW2_450,0,,,
GT1_TSW2_500,0,,,
GT1_TSW2_669,0,,,
ST2_R4_FW14,0,,,
ST2_R4_FW7,0,0,0,0
ST2_R4_FW9,0,,,
ST2_R4_SW2,0,0,0,0
ST2_R4_FW12,0,0,0,0
ST2_R4_SW12,0,,0,0
ST2_R4_FW4,0,,,
ST2_R4_SW6,0,,,
ST2_R4_SW8,0,,,
GT2_R3_FW25,1,,,
GT2_R3_SW13,0,,,
GT2_R3_FW23,1,,,
GT2_R3_SW11,0,1,0,0
GT2_R3_FW20,1,1,1,1
GT2_R3_SW4,0,,0,0
GT2_R3_FW13,0,,1,0
GT2_R3_FW18,0,,,
GT2_R3_FW7,0,,,
GT2_R3_SW1,0,,,
GT2_R3_SW7,0,0,,
GT2_R3_FW10,1,1,,
GT2_R3_FW1,0,,,
GT2_R3_FW4,1,1,,
GT2_R4_FW1,0,0,,
GT2_R4_SW1,0,0,,
GT2_R4_FW4,0,,,
GT2_R4_SW4,0,,,
GT2_R4_SW13,0,0,,
GT2_R4_FW18,0,0,,
GT2_R4_SW7,0,0,,
GT2_R4_SW9,0,,,
GT2_R4_FW7,0,,1,1
GT2_R4_FW10,0,,,
GT2_R4_SW17,0,,0,0
GT2_R4_FW15,1,,1,1
GT2_R4_SW19,0,,0,0
GT2_R4_SW22,0,,,
GT2_R1_FW22,1,,,
GT2_R1_SW4,0,,,
GT2_R1_SW7,1,,0,0
GT2_R1_FW14,1,,,
GT2_R1_SW1,0,,,
GT2_R1_FW1,0,,,
GT2_R1_SW13,0,,0,0
GT2_R1_FW4,1,1,1,1
GT2_R1_FW17,1,1,,
GT2_R1_SW10,0,0,,
GT2_R1_FW19,0,0,0,0
GT2_R1_FW25,1,0,,
GT2_R1_FW7,1,,,
GT2_R1_FW10,1,,,
ST1_TE5_30,0,,,
ST1_TE5_224,0,,0,
ST1_TE5_226,0,,,
ST1_TE5_250,0,,,
ST1_TE5_253,0,,0,
ST1_TE5_313,0,,0,
ST1_TE5_425,0,,,
ST1_TE5_428,0,,0,
ST1_TE5_678,0,,,
ST1_TE5_686,0,,,
ST1_TE5_690,0,,,
ST1_TE4_126,0,,0,
ST1_TE4_10,0,,0,0
ST1_TNW1_378,0,,0,
ST1_TNW1_310,0,,,
ST1_TNW1_3,0,,0,
ST1_TNW1_44,0,,,
ST1_TNW1_504,0,,,
ST1_TNW1_508,0,,0,
ST1_TNW1_510,0,,,
ST1_TNW1_478,0,,,
ST1_TNW1_100,0,,0,
ST1_TNW1_104,0,,,
GT1_TE3_30,0,0,,
GT1_TE3_60,0,,,
GT1_TE3_90,1,,,
GT1_TE3_120,0,0,,
GT1_TE3_155,0,,,
GT1_TE3_188,0,,0,
GT1_TE3_210,0,1,,
GT1_TE3_240,0,,,
GT1_TE3_267,0,,1,
GT1_TE3_340,0,,1,
GT1_TE3_347,0,,,
GT1_TE3_400,0,,0,
GT1_TE3_450,0,,,
GT1_TE3_507,1,,,
GT1_TE3_550,0,,0,
GT1_TE3_600,0,,,
GT1_TE3_650,1,,0,
GT1_TE3_710,0,,,
GT1_TE3_813,0,,,
GT1_TE3_850,0,,,
GT1_TE3_905,0,,,
GT1_TE3_973,0,,0,
GT1_TE3_1010,0,,,
GT1_TE3_1050,0,,,
GT1_TE3_1139,0,,,
GT1_TE3_1157,0,,,
GT1_TE3_1163,0,,,
GT1_TE3_1245,0,,,
GT1_TE3_1300,0,,0,
ST1_TE6_3,0,0,,
ST1_TE6_30,0,,,
ST1_TE6_76,0,,,
ST1_TE6_87,0,,,
ST1_TE6_117,0,,,
ST1_TE6_143,0,,,
ST1_TE6_180,0,,,
ST1_TE6_200,0,,,
ST1_TE6_250,0,,0,
ST1_TE6_270,0,,0,
ST1_TE6_329,0,,,
ST1_TE6_330,0,,,
ST1_TE6_390,0,,0,
ST1_TE6_400,0,,,
ST1_TE6_450,0,,0,
ST1_TE6_550,0,,,
ST1_TE6_710,0,,0,
ST1_TE6_850,0,,,
ST1_TE6_886,0,,,
ST1_TE6_923,0,,0,
ST1_TE6_1007,0,,0,
ST1_TE6_1010,0,,,
