site,y.1,y.2,y.3,y.4
GT2_R2_FW16,1,,,
GT2_R2_FW13,1,,1,1
GT2_R2_FW19,1,,,
GT2_R2_SW4,1,1,1,1
GT2_R2_FW25,1,,,
GT2_R2_SW1,1,1,,
GT2_R2_FW7,1,1,,
GT2_R2_FW10,1,1,,
GT2_R2_FW1,1,,,
GT2_R2_SW7,1,1,,
GT2_R2_FW22,1,,,
GT2_R2_SW10,1,1,1,1
GT2_R2_FW4,1,1,1,1
GT1_TE2_30,1,,,
GT1_TE2_100,0,,1,
GT1_TE2_147,0,,1,1
GT1_TE2_150,1,,1,
GT1_TE2_295,0,,,
GT1_TE2_250,0,,,
GT1_TE2_300,0,,,
GT1_TE2_558,1,,,
GT1_TE2_580,1,,1,
GT1_TE2_607,1,,,
GT1_TE2_623,1,,1,
GT1_TE2_650,1,,,
GT1_TE2_686,1,,,
GT1_TE2_693,0,,,
GT1_TE2_703,1,,,
GT1_TE2_750,1,,1,
GT1_TE2_800,1,,,
ST2_R2_SW14,1,,,
ST2_R2_SW19,1,,1,1
ST2_R2_FW2,1,,,
ST2_R2_FW8,1,,1,1
ST2_R2_SW10,1,,,
ST2_R2_SW2,1,0,0,1
ST2_R2_SW5,1,,,
ST2_R2_FW5,1,,,
ST2_R2_SW8,1,1,0,0
ST2_R2_FW13,1,0,,
ST2_R2_FW14,1,,,
ST2_R1_FW5,1,1,,
ST2_R1_FW17,1,1,1,1
ST2_R1_SW5,1,1,0,0
ST2_R1_SW8,0,1,,
ST2_R1_FW24,1,1,,
ST2_R1_FW21,1,,,
ST2_R1_SW2,1,,,
ST2_R1_FW3,0,,1,1
ST2_R1_FW7,1,,,
ST2_R1_FW11,1,,,
ST2_R1_SW12,1,,,
ST2_R1_SW14,0,,1,1
ST2_R3_SW13,1,1,1,1
ST2_R3_SW14,1,,,
ST2_R3_SW9,1,,,
ST2_R3_FW4,1,,1,1
ST2_R3_SW3,1,,,
ST2_R3_SW6,1,,1,1
ST2_R3_FW8,1,,1,1
ST2_R3_SW21,1,1,,
ST2_R3_FW13,0,1,,
ST2_R3_SW19,0,,,
ST2_R3_FW12,1,,,
GT1_TE4_33,1,1,1,
GT1_TE4_60,1,,1,
GT1_TE4_90,1,,,
GT1_TE4_122,1,1,1,
GT1_TE4_154,1,,,
GT1_TE4_180,1,,,
GT1_TE4_220,1,1,,
GT1_TE4_250,1,,,
GT1_TE4_270,1,,,
GT1_TE4_330,1,,,
GT1_TE4_360,1,,1,
GT1_TE4_390,1,,1,
GT1_TE4_420,1,,,
GT1_TE4_450,1,,0,
GT1_TE4_480,1,,1,
GT1_TE4_540,1,,,
GT1_TE4_720,1,,,
GT1_TE4_570,1,,1,
GT1_TE4_600,1,,,
GT1_TE4_630,1,,,
GT1_TE4_660,1,,1,
GT1_TE4_690,1,,,
GT1_TE4_750,1,,1,
GT1_TE4_800,1,,,
GT1_TE4_850,1,,,
GT1_TE4_900,1,,,
GT1_TE4_950,1,,,
GT1_TE4_1000,1,,,
GT1_TE4_1050,1,,,
GT1_TE4_1100,1,,,
GT1_TE4_1225,1,,1,
GT1_TE4_1234,1,,,
GT1_TE4_1250,0,,,
GT1_TE4_1300,1,,,
GT1_TE4_1350,1,,,
GT1_TE4_1407,1,,,
GT1_TSW2_55,1,,,
GT1_TSW2_88,1,,1,
GT1_TSW2_162,1,,,
GT1_TSW2_200,1,,1,
GT1_TSW2_250,1,,,
GT1_TSW2_300,1,,1,
GT1_TSW2_350,1,,,
GT1_TSW2_400,1,,1,
GT1_TSW2_450,1,,,
GT1_TSW2_500,1,,,
GT1_TSW2_669,1,,,
ST2_R4_FW14,0,,,
ST2_R4_FW7,1,1,1,1
ST2_R4_FW9,1,,,
ST2_R4_SW2,1,1,1,1
ST2_R4_FW12,1,1,1,1
ST2_R4_SW12,1,,1,1
ST2_R4_FW4,1,,,
ST2_R4_SW6,1,,,
ST2_R4_SW8,1,,,
GT2_R3_FW25,1,,,
GT2_R3_SW13,1,,,
GT2_R3_FW23,1,,,
GT2_R3_SW11,1,1,1,1
GT2_R3_FW20,0,1,1,1
GT2_R3_SW4,1,,1,1
GT2_R3_FW13,1,,1,1
GT2_R3_FW18,0,,,
GT2_R3_FW7,1,,,
GT2_R3_SW1,1,,,
GT2_R3_SW7,1,1,,
