Date,Year,Stream,SiteNumber,SiteCode,Tier ,Reach,Unit,Observer,Obs.ID,Survey#,Start.hour,Start.minute,End.hour,End.minute,Tmax,MinOfDay,ttd,Life_Stage,SVL,Sex,Gradient.1,Gradient.2,Gradient.3,AveGrad,Distance,Bank,Clay,Fines,Sand,Gravel,Pebble,Cobble,Boulder,SWD,LWD,Duff,Per.Clay,Per.Fines,Per.Sand,Per.Gravel,Per.Pebble,Per.Cobble,Per.Boulder,Per.SWD,Per.LWD,Per.Duff,UTM.North,UTM.East,Datum,Error,VES,Notes,,,,,,,,,,,,,,,,,,,,,,,,
7/15/2016,2016,Godwood,717,GT1_TSW2_Seep717,1,TSW2,Seep717,AM/SR/RW,123,1,16,48,16,56,8,408,3,Larvae,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/15/2016,2016,Godwood,633,GT1_TSW2_Seep633,1,TSW2,Seep633,AM,1,1,15,59,16,1,2,359,2,Adult,43,Male,28,,,,,,0,0,0,12,3,1,,0,0,0,0,0,0,75,18.75,6.25,0,0,0,0,413124,4580945,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/15/2016,2016,Godwood,365,GT1_TSW2_Seep365,1,TSW2,Seep365,AM,1,1,13,36,13,38,2,216,2,Larvae,29,NA,26,,,,5,,0,0,1,1,4,3,6,0,0,0,0,0,6.67,6.67,26.67,20,40,0,0,0,413259,4581101,,,,trib is trib-like and seep-like,,,,,,,,,,,,,,,,,,,,,,,,
7/15/2016,2016,Godwood,447,GT1_TSW2_Seep447,1,TSW2,Seep447,AM,1,1,14,19,14,20,1,259,1,Larvae,28,NA,8,15,,11.5,,,0,0,2,23,2,0,0,3,0,2,0,0,6.25,71.88,6.25,0,0,9.38,0,6.25,413223,4581041,,,,RHVA found under SWD,,,,,,,,,,,,,,,,,,,,,,,,
8/24/2016,2016,Godwood,10,GT2_R3_Seep10,2,3,Seep10,AM,1,1,15,6,15,25,19,306,19,Larvae,20,NA,4.35,11.8,23,13.05,11,,0,2,0,4,9,1,0,0,0,0,0,12.5,0,25,56.25,6.25,0,0,0,0,413744,4581066,converted with http://www.rcn.montana.edu/resources/converter.aspx,,,surprised it tooke me so long to find a RHVA. Checked the South fork of the seep first. Couldn’t find a RHVA but habitat looked great; coarse substrate and moss mats. Finally found a larvae in the W fork.,,,,,,,,,,,,,,,,,,,,,,,,
7/7/2016,2016,Godwood,139,GT1_TE2_Seep140,1,TE2,Seep140,AM,1,1,10,56,11,2,6,56,NA,NA,NA,NA,9,5,,7,5,LB,0,0,2,8,4,0,,2,0,0,0,0,12.5,50,25,0,0,12.5,0,0,413801,4581060,,,,"has a gradient of 9 at the confluence but then flattens out (5) and gets mucky; dries out after about 5 meters; 9/24/2016-looks pretty dry, still moist, but only water seeping at confluence with channel",,,,,,,,,,,,,,,,,,,,,,,,
7/7/2016,2016,Godwood,359,GT1_TE2_Seep359,1,TE2,Seep359,AM,1,1,13,44,13,48,4,224,NA,NA,NA,NA,NA,NA,,NA,1,LB,0,1,3,10,0,2,,0,0,0,0,6.25,18.75,62.5,0,12.5,0,0,0,0,413863,4581262,,,,short trib coming from an undercut of the really incised channel bank; too short to get a gradient; completley covered by fern and oerhanging bank and branches,,,,,,,,,,,,,,,,,,,,,,,,
7/12/2016,2016,Godwood,650,GT1_TE2_Seep650,1,TE2,Seep650,AM,1,1,12,49,12,55,6,169,NA,NA,NA,NA,1,,,1,1,,1,4,0,2,3,1,,4,0,0,6.67,26.67,0,13.33,20,6.67,0,26.67,0,0,414073,4581417,,,,"short seep, disappears quicklu, low gradient; looked dry on 9/24/2016",,,,,,,,,,,,,,,,,,,,,,,,
6/6/2016,2016,Streelow,2,ST2_R1_Seep2,2,1,Seep2,AM,1,1,13,0,13,5,5,180,NA,NA,NA,NA,20,,,20,,,0,14,0,0,0,0,0,2,0,0,0,87.5,0,0,0,0,0,12.5,0,0,412404,4578038,,,,"went back on 9/10/2016 and it was dry; 30 cm wide, silt and sand, no animals",,,,,,,,,,,,,,,,,,,,,,,,
7/2/2016,2016,Godwood,253,GT1_TE3_Seep253,1,TE3,Seep253,AM,1,1,15,43,15,48,5,343,NA,NA,,NA,1,4,,2.5,5,,2,0,3,5,4,2,,0,0,0,12.5,0,18.75,31.25,25,12.5,0,0,0,0,,,,,,"seep was low gradient, between 1 & 4 degrees. Not much water; ender after around 5 m. Substrate was good, just needs more water. ",,,,,,,,,,,,,,,,,,,,,,,,
